商品名称,地址,介绍,标签,总价（万元）,每平米价格（元）
日光里 2室1厅 南 北,日光里 - 鸿顺里街,2室1厅 | 69.44平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",150,21602
精装两室 采光好 诚意出售 满两年,欣荣馨苑 - 唐家口,2室1厅 | 62.45平米 | 东 北 | 精装 | 高楼层(共24层)  | 塔楼,"近地铁,VR看装修,房本满两年",149.5,23940
南北通透 欧式装修 中间楼层 无遮挡 拎包入住,华亭丽园 - 中北镇,2室2厅 | 88.73平米 | 南 北 | 精装 | 高楼层(共21层)  | 板楼,"VR看装修,房本满五年",216,24344
配套较齐 采光较好 业主诚意出售 干净整洁 看房方便,欣荣馨苑 - 唐家口,1室1厅 | 48.68平米 | 南 | 精装 | 低楼层(共24层)  | 塔楼,"VR看装修,房本满两年",115,23624
湘江道，私产满五年唯一。中楼层，无遮挡，采光好,云广新里 - 挂甲寺,1室1厅 | 44.78平米 | 东 | 简装 | 高楼层(共7层)  | 板楼,"VR看装修,房本满五年",149,33274
河西澧新里，私产满五，低楼层采光无遮挡。诚心出售,澧新里 - 尖山,2室1厅 | 67.12平米 | 东 西 | 精装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年",220,32778
此房满五年  低楼层  视野好 不临街  配套齐全,红和里 - 兴南街,1室1厅 | 35.97平米 | 西 | 简装 | 低楼层(共7层)  | 板楼,"VR看装修,房本满五年",182,50598
盛宇里 精装修婚房一室 私产过两年 中间楼层 诚意卖,盛宇里 - 王串场,1室1厅 | 47.98平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满两年",99.9,20822
园荫北里 6楼不到顶 带客厅 户型方正 南北通透,园荫北里 - 王顶堤,2室1厅 | 61.27平米 | 北 南 | 其他 | 高楼层(共7层)  | 板楼,"近地铁,VR看装修,房本满五年",143,23340
春晖里(大港区) 2室1厅 南,春晖里(大港区) - 大港,2室1厅 | 93.18平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年",110,11806
香江健康小镇棕榈园 2室1厅 南 北,香江健康小镇棕榈园 - 京津新城,2室1厅 | 90平米 | 南 北 | 毛坯 | 18层  | 板楼,"VR房源,房本满五年",45,5000
嘉陵北里   四楼中间楼层   业主诚心出售,嘉陵北里 - 嘉陵道街,2室1厅 | 47.94平米 | 东 西 | 简装 | 中楼层(共6层)  | 塔楼,"VR看装修,房本满两年",130,27118
小区中间位置，不临街不把边，满五唯一，免个税,金冠里 - 王顶堤,1室1厅 | 49.31平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年",135,27378
实验 砖楼 通透一居室 诚意出售 看房方便,襄阳道 - 体育馆街,2室1厅 | 36.19平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满两年",365,100857
满五唯一三居室明厨明卫  采光好业主诚意出售,君利花园 - 下朱庄,3室1厅 | 128.06平米 | 北 南 | 简装 | 低楼层(共24层)  | 板楼,"VR看装修,房本满五年",119,9293
中楼层，精装修两室，南开户口，小区环境好,燕宇花园 - 中北镇,2室1厅 | 66.26平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年",140,21129
中远里出房率高，高楼层一梯两户，户型方正无公摊,中远里 - 望海楼,1室1厅 | 62.22平米 | 东 南 西 | 简装 | 高楼层(共7层)  | 板楼,"VR房源,房本满五年",127,20412
满五唯一，H户型，边户全明H户型，中间楼层,摩卡假日 - 张家窝,2室1厅 | 96.91平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,"VR看装修,房本满五年",158,16304
久福园 3室2厅 南 北,久福园 - 唐家口,3室2厅 | 132.63平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,"VR房源,房本满五年",260,19604
中间楼层  自主精装修 采光充足  业主急售,金地艺境 - 辛庄,2室1厅 | 83.53平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,"VR看装修,房本满两年",130,15564
"房子满两年,南北通透，采光好 前后无遮挡。",云江新苑 - 小海地,1室1厅 | 55.51平米 | 西 南 北 | 精装 | 中楼层(共20层)  | 板塔结合,"近地铁,VR看装修,房本满两年",140,25221
此房满五年低楼层，能贷款，配套成熟，生活便利。,元吉里 - 鸿顺里街,1室1厅 | 38.55平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,"VR房源,房本满五年",115,29832
环秀中里 2室1厅 东 西,环秀中里 - 万新村,2室1厅 | 53.16平米 | 东 西 | 简装 | 高楼层(共7层)  | 板楼,"VR看装修,房本满两年",95,17871
企业产精装两室通透不到顶 岳阳集团西康路,锦江里(和平区) - 新兴街,2室1厅 | 58平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年",215,37069
金德园 两室一厅 全天无遮挡 户型方正 业主急售,金德园 - 南营门街,2室1厅 | 88.39平米 | 西南 | 其他 | 高楼层(共30层)  | 板楼,"VR看装修,房本满五年",630,71276
万科魅力之城 双阳两居室 中间楼层 满五唯一,万科魅力之城兰雅苑 - 新立街,2室1厅 | 73.23平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,"VR看装修,房本满五年",129,17616
福东里精装2室，通透户型，温馨小家,福东里 - 二号桥街,2室1厅 | 68.95平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年",132,19145
首创福特纳湾金盛园 2室1厅 南,首创福特纳湾金盛园 - 大寺,2室1厅 | 85.29平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满两年",125,14656
河东一号桥安吉花园南北通透次顶采光好近轻轨雪校可议,安吉花园 - 二号桥街,2室1厅 | 93.25平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年",149,15979
海望园 2室2厅 南 北,海望园 - 第三大街,2室2厅 | 101.73平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,"VR看装修,房本满五年",270,26541
桦林园 2室1厅 南 北,桦林园 - 广开街,2室1厅 | 112.44平米 | 南 北 | 简装 | 中楼层(共9层)  | 板塔结合,"近地铁,VR看装修,房本满五年",410,36464
金湾花园 2室1厅 南 北,金湾花园 - 上杭路,2室1厅 | 81.07平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,"近地铁,VR房源,房本满两年",220,27138
玉泉里 中间三楼 采光无遮挡 满五唯一 诚心出售,玉泉里 - 万兴街,2室1厅 | 86.57平米 | 西 | 其他 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年",260,30034
此房满五唯一 无贷款 阳面中独户型 霸道采光 业主,滨河新苑 - 富民路,1室1厅 | 60.46平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,"VR看装修,房本满五年",128,21172
满五唯一 省个税 视野好采光强 配套设施齐全,太阳城金旭园 - 太阳城,2室1厅 | 95.45平米 | 南 | 简装 | 高楼层(共28层)  | 板塔结合,"VR看装修,房本满五年",240,25145
2室2厅 南北通透，面积大，户型好，采光好，通透性好,友爱东里 - 中山门街,2室2厅 | 96.58平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,"VR看装修,房本满五年",169,17499
富力又一城 3室1厅 南 东南,富力又一城 - 咸水沽,3室1厅 | 107.73平米 | 南 东南 | 毛坯 | 33层  | 板塔结合,"VR房源,随时看房",147,13646
精装修，满五唯一，中间位置，不临街，中间楼层,新梅江锦秀里 - 新梅江,3室2厅 | 125.16平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,"近地铁,VR看装修,随时看房",440,35156
红星公寓 中间楼层 交通方便 配套完善 业主诚意出售,红星公寓 - 上杭路,2室1厅 | 65.19平米 | 东 南 西 | 简装 | 中楼层(共7层)  | 板楼,"VR房源,房本满五年,随时看房",107,16414
健全里 3楼 私产可贷款 户型方正 采光充足,健全里 - 越秀路,2室1厅 | 70平米 | 东 | 精装 | 中楼层(共7层)  | 板楼,"近地铁,VR房源,房本满五年,随时看房",208,29715
新城小区 此房私产过两年 精装修 南北朝向 低楼层。,新城小区 - 挂甲寺,2室1厅 | 57.15平米 | 南 北 | 简装 | 低楼层(共8层)  | 板塔结合,"VR看装修,房本满两年,随时看房",175,30622
业主诚心出售南北通透H户型，满两年无大税,禹洲御湖郡 - 团泊西,3室2厅 | 103.17平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,"VR看装修,房本满两年,随时看房",126,12213
惠安花园，电梯三居室，毛坯出售，随时看房诚意出售,惠安花园 - 咸水沽,3室2厅 | 101.99平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,"VR房源,房本满五年,随时看房",99,9707
此房户型好，楼层好，房主着急换房，带大地下室，可议,静湖花园南区 - 静湖,3室2厅 | 127.55平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,"VR看装修,房本满两年,随时看房",118,9252
晨光楼  一楼两室   带院诚意卖价格可商议,晨光楼(河东区) - 向阳楼,2室1厅 | 51.17平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",165,32246
南站商圈，配套齐全，大3居精装，居住舒适，出行便捷,宝庆里 - 张家窝,3室1厅 | 119.86平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",143,11931
【低总价高品质，精装大三室】带电梯，私产可贷款,书香园 - 万兴街,3室2厅 | 151.05平米 | 东 西 南 | 精装 | 中楼层(共12层)  | 板楼,"VR房源,房本满五年,随时看房",412,27276
北岸尚城 老证 空户尾款 楼层好 采光好 带一个地下室,北岸尚城 - 体育中心,2室2厅 | 99.64平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,"VR看装修,房本满五年,随时看房",160,16058
园荫北里  私产 户型方正  总价低,园荫北里 - 王顶堤,1室1厅 | 40.16平米 | 西北 | 简装 | 高楼层(共7层)  | 塔楼,"近地铁,VR看装修,房本满两年,随时看房",92,22909
吉星北里  中芯片 户型方正 采光充足 低楼层 满五唯一,吉星北里 - 南营门街,2室1厅 | 59.66平米 | 东北 | 精装 | 低楼层(共6层)  | 板楼,"近地铁,VR房源,房本满五年,随时看房",388,65036
枫丹天城   满五唯一  空户  位置佳  详情联系维护人,枫丹天城 - 体育中心,3室2厅 | 96.37平米 | 北 南 | 精装 | 低楼层(共18层)  | 板塔结合,"VR看装修,房本满两年,随时看房",258,26772
私产房过五年、看房方便、业主诚意出售,三和温泉花园天时园 - 建昌道,1室1厅 | 55.58平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",109,19612
世贸小高层次新房，中间楼层两梯两户，业主诚心出售,世茂璀璨公园 - 咸水沽,3室2厅 | 135.33平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,"VR看装修,房本满两年,随时看房",199,14705
满五有二套 顶楼带阁楼 楼龄新 采光好 环境好,枫泽园 - 新立街,3室1厅 | 64.59平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,"VR房源,房本满五年,随时看房",123,19044
高铁南站宝星花园，无户口问题大三居，南北通透,宝星花园 - 马家店,3室2厅 | 115.73平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",85,7345
旭辉燕南园 三室精装 一口价房源 只卖一个月 业主急售,旭辉燕南园 - 精武镇,3室1厅 | 91.62平米 | 南 北 | 简装 | 低楼层(共21层)  | 板塔结合,"VR看装修,房本满两年,随时看房",158,17246
东丽万科格兰苑南北通透两室 业主着急 出售户型方正,万科魅力之城格兰苑 - 新立街,2室2厅 | 89.7平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",151,16834
高铁城际旁 无尾款，精装 中间楼层 采光好 通透三居,泉昇佳苑东区 - 黄庄,3室1厅 | 115.5平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,"VR看装修,房本满两年,随时看房",148,12814
[店长力荐]次新好房，南北通透，业主急售，中间楼层,旭辉燕南园 - 精武镇,3室2厅 | 94.78平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板塔结合,"VR看装修,房本满两年,随时看房",157,16565
中间楼层 采光好无遮挡，看房方便,天一绿海 - 于桥水库,2室2厅 | 90.57平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,"VR房源,房本满两年,随时看房",127,14023
东西通透私产三居室，业主诚意出售,建设路 - 小白楼,3室1厅 | 83.98平米 | 西南 东北 | 精装 | 高楼层(共7层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",340,40486
金水湾小区  三居 毛坯房 房主诚意出售,圣缇湾 - 翡翠湾,3室2厅 | 118.06平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板塔结合,"VR看装修,房本满两年,随时看房",85,7200
海河观景  高档物业  品质住宅,金融街融御-融景名邸 - 小白楼,2室1厅 | 126.81平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,"VR看装修,房本满两年,随时看房",575,45344
成熟社区，看房方便，交通便利。购物方便,双街新邨 - 双街,3室1厅 | 124.28平米 | 南 北 | 毛坯 | 高楼层(共22层)  | 塔楼,"VR看装修,房本满两年,随时看房",170,13679
米兰东湖湾的洋房  高出房率  小区环境好,米兰东湖湾 - 东丽湖,2室2厅 | 88.9平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,"VR看装修,房本满五年,随时看房",72,8099
三水南里，三水道，双阳台，精装修，随时可以签合同,三水南里 - 小海地,2室1厅 | 40.91平米 | 南 北 西 | 精装 | 高楼层(共6层)  | 板楼,"VR看装修,随时看房",142,34711
金水湾小区  三居 毛坯房 房主诚意出售,圣缇湾 - 翡翠湾,3室2厅 | 118.06平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板塔结合,"VR看装修,房本满两年,随时看房",85,7200
双卫H户型 西园道谊城 私产 南北向 阳光满屋 看房随时,谊城公寓 - 友谊路,2室2厅 | 120.83平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",299,24746
塞纳世家，通透户型，带车位，房主诚心出售,塞纳世家 - 怡购,2室2厅 | 92.24平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板楼,"VR看装修,房本满两年,随时看房",115,12468
满五年唯一住房 南北通透 大三居,天山·水榭花都 - 小站镇,3室2厅 | 143.48平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,"VR看装修,房本满五年,随时看房",94,6552
精装通透三室，拎包入住，采光好，无遮挡,金隅满堂 - 中北镇,3室1厅 | 91.03平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,"VR看装修,房本满两年,随时看房",216.5,23784
金地格林世界橄榄苑C区 3室2厅 南,金地格林世界橄榄苑C区 - 双港,3室2厅 | 140.24平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,"VR看装修,房本满五年,随时看房",310,22105
电梯洋房，一楼带小院，通透三居两卫,亚泰澜公馆 - 黄庄,3室2厅 | 141.59平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,"VR房源,房本满两年,随时看房",248,17516
双安里 3室1厅 南 北,双安里 - 大港,3室1厅 | 70.17平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,"VR看装修,房本满五年,随时看房",62,8836
此房四楼有阁楼，阁楼能住人，过五年，看房方便。,世纪花园(大港区) - 大港,2室1厅 | 103.18平米 | 南 北 | 简装 | 高楼层(共4层)  | 板楼,"VR看装修,房本满五年,随时看房",109,10565
中营全阳两居室，业主诚意出售，过五年。,龙亭家园 - 鼓楼街,2室2厅 | 91.74平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,"近地铁,VR看装修,房本满五年,随时看房",434,47308
私产偏单 精装修 采光好 南北通透,华宁南里 - 王顶堤,2室1厅 | 49.62平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",142,28618
面积大，可利用空间大，通厅户型，采光好,前光里 - 大港,3室2厅 | 122.87平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",70,5698
房子随时看房 业主诚心出售 私产满二,天悦风华 - 咸水沽,3室1厅 | 94.21平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,"VR看装修,房本满两年,随时看房",186,19744
禧顺花园 私产过两年 房龄新 环境好交通便利,禧顺花园 - 嘉陵道街,2室1厅 | 79.89平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满两年,随时看房",252,31544
招商钻石山，三室两厅，户型全明，随时看房,招商钻石山 - 体育中心街,3室2厅 | 142.95平米 | 南 | 精装 | 低楼层(共43层)  | 板楼,"VR看装修,房本满五年,随时看房",480,33579
采光好 、楼层好；前后无遮挡、看房方便。,中骏柏景湾 - 精武镇,3室2厅 | 87平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,"VR看装修,房本满两年,随时看房",145,16667
万科新里程家园 3室1厅 南 北,万科新里程家园 - 空港经济区,3室1厅 | 112.27平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,"VR看装修,房本满五年,随时看房",270,24050
低楼层。双阳户型，出房率高，看房提前约,金海湾花园 - 陈塘庄,2室1厅 | 82.39平米 | 东南 | 简装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",229,27795
松鹤园 中间楼层 南北通透两居 精装修未住 15平储藏室,松鹤园 - 保利金街,2室2厅 | 88.67平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满两年,随时看房",140,15789
房子私产，可贷款，非顶楼，看房方便，看房随时,林苑北里 - 王顶堤,2室2厅 | 58.75平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满两年,随时看房",151,25703
泉昇中区，两室一厅，户型好，位置佳，采光好,泉昇佳苑中区 - 黄庄,2室1厅 | 85.38平米 | 南 | 简装 | 高楼层(共17层)  | 板楼,"VR房源,随时看房",118,13821
"精装修，好楼层，无遮挡，透户通型，业主诚心卖,",社会山Bigparty - 张家窝,3室1厅 | 92.73平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,"VR看装修,房本满两年,随时看房",178,19196
诚心出售， 满二唯一 全明金 角三室 视野开阔,天房美域华庭 - 李七庄,3室2厅 | 131.84平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,"VR看装修,房本满两年,随时看房",363,27534
总监推荐！ 满五唯一 精装两室 可拎包入住或直接出租,淦江西里 - 王顶堤,2室1厅 | 56.9平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,"近地铁,VR看装修,房本满五年,随时看房",135,23726
洋房 两居  诚意出售  有装修 要钥匙  无尾款,首创城 - 辛庄,2室1厅 | 95.59平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满两年,随时看房",152,15902
万科二期 凭澜苑两室两卫  有两阳台，业主诚意出售,凭澜苑 - 东丽湖,2室2厅 | 110.02平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,"VR房源,房本满五年,随时看房",95,8635
洋房 出房率高   南北通透  采光前后无遮挡,浩天天娇源 - 水上公园街,3室2厅 | 170.49平米 | 南 北 | 精装 | 低楼层(共10层)  | 板楼,"近地铁,VR房源,房本满五年,随时看房",605,35486
不临街不把边，满五唯一，无遮挡，三室低楼层诚心卖,澳隆花园 - 友谊路,3室1厅 | 106.09平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",328,30918
浩天天骄源3室2卫 户型方正 采光好 带两个车位,浩天天娇源 - 水上公园街,3室2厅 | 170.49平米 | 南 | 简装 | 高楼层(共10层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",660,38712
紫芥园捡漏.精装大跃层 诚意出售  露台不在房产面积,紫芥园 - 芥园道,4室2厅 | 155.98平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,"VR房源,房本满五年,随时看房",369,23657
银行院新装修一层楼层好双南向采光好,昌海公寓 - 光复道,2室1厅 | 82.25平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,"VR看装修,房本满五年,随时看房",310,37690
南北通透格局，楼层好，精装修，采光充足,宝翠花都瞰景园 - 瑞景居住区,2室1厅 | 95.35平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",185,19403
私产房满五年唯一住房，看房方便，随时签约,怡园里 - 向阳路,2室1厅 | 81.87平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,"近地铁,VR房源,房本满五年,随时看房",159,19422
天山水榭花都 三室两厅两卫 户型方正 无遮挡,天山·水榭花都 - 小站镇,3室2厅 | 131.69平米 | 南 北 | 其他 | 低楼层(共28层)  | 板楼,"VR看装修,房本满五年,随时看房",93,7063
此房满五无二套 好赞好房 钥匙在手看房方便,格调竹境 - 中山门街,3室2厅 | 135.95平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,"VR房源,房本满五年,随时看房",318,23391
云锦世家三期 婚房自住 空调地采暖  看房方便,云锦世家 - 中北镇,3室2厅 | 134.55平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满两年,随时看房",316,23486
采光好  满五唯一  低楼层   配套齐全,环秀中里 - 万新村,3室1厅 | 78.85平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,"VR看装修,房本满五年,随时看房",140,17756
春华里 商品房 70年产权住宅 南北通透 1楼,春华里（河东区） - 春华街,2室2厅 | 93.88平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,"VR看装修,房本满五年,随时看房",225,23967
社会山南苑高层边户，南白通透看房方便，采光好无遮挡,社会山南苑 - 张家窝,3室1厅 | 91.84平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,"VR看装修,房本满两年,随时看房",163,17749
时代奥城 3室2厅 南,时代奥城 - 体育中心街,3室2厅 | 198.06平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,"VR看装修,房本满五年,随时看房",638,32213
奕聪花园复式三居。房龄新。产权清晰。视野好。,奕聪花园 - 体育中心街,3室2厅 | 160.95平米 | 南 北 | 精装 | 中楼层(共36层)  | 板楼,"VR房源,房本满两年,随时看房",336,20877
吴家窑地铁站的商品房，2000入住，6层到顶的中间楼层,兴河里 - 新兴街,2室1厅 | 88.21平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",330,37411
私产3室，一楼，南北通透，地段好，配套完善,凤凰城 - 马场街,3室2厅 | 152.5平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",641,42033
品质洋房社区  人车分流  改善人选,保利罗兰公馆 - 张家窝,3室2厅 | 105.4平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,"VR看装修,房本满两年,随时看房",201,19071
此房屋满五年，整体无拆改，看房方便，梅林路6号线。,儒林园 - 新梅江,3室2厅 | 135.68平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",430,31693
宜白路 小高层 一楼  南北向 通透三居,普东新苑 - 宜兴埠,3室2厅 | 113.31平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,"VR看装修,房本满两年,随时看房",200,17651
大同时尚花园 一楼 不带院 双阳 满五年 诚意出售,大通时尚花园 - 向阳楼,2室1厅 | 95.88平米 | 南 北 | 简装 | 低楼层(共9层)  | 板楼,"VR看装修,房本满五年,随时看房",269,28056
房子满五唯一 带储藏间 空置看房有钥匙 业主诚意出售,第六大道俊东公寓 - 上杭路,2室1厅 | 61.28平米 | 南 北 | 简装 | 中楼层(共15层)  | 板楼,"VR房源,房本满五年,随时看房",145,23662
居华里 功能性两室 三楼诚心卖,居华里 - 华苑,2室1厅 | 62.9平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",220,34977
精装修 电梯洋房 顶楼带阁楼  带大露台,云锦世家 - 中北镇,3室2厅 | 76.82平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,"VR房源,房本满两年,随时看房",230,29941
宇萃里 1室1厅 南,宇萃里 - 王串场,1室1厅 | 37平米 | 南 | 毛坯 | 低楼层(共6层)  | 板塔结合,"VR看装修,随时看房",70,18919
楼层低 更适合年纪大的人住 看房方便，方便.. ..,御水园 - 工农村,3室2厅 | 117.3平米 | 南 北 | 简装 | 低楼层(共28层)  | 板楼,"VR看装修,房本满五年,随时看房",169,14408
柏溪花园，临湖电梯洋房，全明卫大三居，临湖首排,富力津门湖柏溪花园 - 李七庄,3室1厅 | 151.67平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,"VR看装修,房本满五年,随时看房",500,32967
贵山里 精装修 大一室 全阳 私产过两年 采光充足,贵山里 - 小海地,1室1厅 | 56.65平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,"VR看装修,房本满两年,随时看房",120,21183
大面积电梯洋房 一梯一户 全明户型 大露台,天嘉湖花园 - 八里台,4室2厅 | 242.45平米 | 南 | 毛坯 | 中楼层(共6层)  | 塔楼,"VR房源,房本满两年,随时看房",147,6064
两室一厅简装 格局无改动有学籍南北通透前无遮挡。,宝龙南苑 - 中新生态城,2室1厅 | 80.34平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,"VR看装修,房本满两年,随时看房",116,14439
虹畔馨苑3室2卫 标准H+1 低楼层精装 满五唯一 有露台,虹畔馨苑 - 长虹街,3室2厅 | 141.99平米 | 南 东 北 | 精装 | 低楼层(共11层)  | 板楼,"VR看装修,房本满五年,随时看房",545,38383
两室一厅简装 格局无改动有学籍南北通透前无遮挡。,宝龙南苑 - 中新生态城,2室1厅 | 80.34平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,"VR看装修,房本满两年,随时看房",116,14439
大同时尚花园 一楼 不带院 双阳 满五年 诚意出售,大通时尚花园 - 向阳楼,2室1厅 | 95.88平米 | 南 北 | 简装 | 低楼层(共9层)  | 板楼,"VR看装修,房本满五年,随时看房",269,28056
宜白路 小高层 一楼  南北向 通透三居,普东新苑 - 宜兴埠,3室2厅 | 113.31平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,"VR看装修,房本满两年,随时看房",200,17651
私产房满五年唯一住房，看房方便，随时签约,怡园里 - 向阳路,2室1厅 | 81.87平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,"近地铁,VR房源,房本满五年,随时看房",159,19422
宇萃里 1室1厅 南,宇萃里 - 王串场,1室1厅 | 37平米 | 南 | 毛坯 | 低楼层(共6层)  | 板塔结合,"VR看装修,随时看房",70,18919
精装修 电梯洋房 顶楼带阁楼  带大露台,云锦世家 - 中北镇,3室2厅 | 76.82平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,"VR房源,房本满两年,随时看房",230,29941
小区邻里关系和谐，小区环境成熟，社区风气良好，,园荫里 - 王顶堤,2室1厅 | 55.98平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,"近地铁,VR看装修,房本满五年,随时看房",141,25188
居华里 功能性两室 三楼诚心卖,居华里 - 华苑,2室1厅 | 62.9平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",220,34977
近小区正门，前后不临街，环境安静有车位,紫瑞园 - 瑞景居住区,2室1厅 | 85.6平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,"VR看装修,房本满五年,随时看房",157,18342
宝鑫景苑    配套齐全   生活便利,宝鑫景苑 - 北城路,2室2厅 | 89.52平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,"VR看装修,房本满两年,随时看房",80,8937
